hisp_1980,nhisp_1980,hisp_1990,nhisp_1990,hisp_2000,nhsip_2000,doc_id
,,,,2466,137949,firstf_2000_ff4.txt
,,,,2466,137949,firstf_2001_ff8.txt
,,,,2466,137949,firstf_2002_ff14.txt
,,,,2466,137949,firstf_2003_ff23.txt
,,116,32342,,,cwk_1997_confklan2.txt
,,116,32342,,,cwk_1998_confklan3.txt
,,,,290,46075,als_2000_sevents5.txt
,,,,290,46075,als_2001_sevents4.txt
,,,,290,46075,als_2002_sevents8.txt
,,,,290,46075,als_2003_sevents9.txt
,,,,290,46075,als_2004_sevents12.txt
,,948,149574,,,lofsouth_1995_patriot2.txt
,,948,149574,,,lofsouth_1996_patriot3.txt
,,948,149574,,,lofsouth_1998_patriot4.txt
,,948,149574,,,lofsouth_1999_patriot5.txt
,,,,2130,162745,lofsouth_2000_patriot8.txt
,,,,2130,162745,lofsouth_2001_patriot14.txt
,,,,2130,162745,lofsouth_2002_patriot18.txt
,,,,2130,162745,lofsouth_2003_patriot21.txt
,,,,2130,162745,lofsouth_2004_patriot24.txt
150,25917,,,,,CJC_1981_robbsreport.txt
150,25917,,,,,CJC_1982_messageofold.txt
,,,,360,33588,knights_2002_crus3.txt
,,,,360,33588,knights_2003_crus4.txt
,,,,360,33588,knights_2004_crus7.txt
128,20016,,,,,mok_1989_missingkey3.txt
,,143,20414,,,mok_1990_missingkey4.txt
,,3199,346461,,,CrusadeCC_1995_homicide.txt
,,3199,346461,,,CrusadeCC_1997_psychopolitical.txt
,,3199,346461,,,chammerskins_1997_issue1.txt
,,3199,346461,,,chammerskins_1998_issue2.txt
,,,,8816,352658,Crusade_2003_watchman.txt
,,480,43461,,,naawp_1994_issue1.txt
,,480,43461,,,naawp_1998_news3.txt
,,480,43461,,,naawp_1999_news5.txt
,,,,873,56790,naawp_2000_news9.txt
,,,,873,56790,naawp_2001_news2.txt
,,,,873,56790,naawp_2002_news1.txt
,,,,140675,990509,nord_2003_nord3.txt
,,,,140675,990509,nord_2004_nord4.txt
,,,,140675,990509,nord_2005_nord6.txt
7574,582330,,,,,calvary_1983_temple7.txt
7574,582330,,,,,calvary_1984_temple6.txt
7574,582330,,,,,calvary_1985_temple5.txt
7574,582330,,,,,calvary_1986_temple4.txt
7574,582330,,,,,calvary_1987_temple1.txt
1426,165477,,,,,ASCP_1982_proposed.txt
1426,165477,,,,,ASCP_1985_newsresponse.txt
1426,165477,,,,,ASCP_1987_newsclips.txt
1426,165477,,,,,anf_1988_spnewsletter.txt
1426,165477,,,,,anf_1989_victoryprogram.txt
5162,58935,,,,,CDL_1982_reviewhess.txt
5162,58935,,,,,CDL_1987_dearpatriot2.txt
,,4183,62448,,,CDL_1995_report.txt
,,4183,62448,,,CDL_1997_dearconcamer.txt
,,,,3425,63804,CDL_2000_dearchristianfriend.txt
,,,,3425,63804,CDL_2003_dearchristianfriend2.txt
,,,,3425,63804,CDL_2004_dearchristianfriend3.txt
